站號,地區,站名,lng,lat,總車位,可借車位數,可還空位數,營運狀態,可借車佔比
1383,蘆洲區,三民高中(民權路),121.473928,25.088024,36,12,24,1,0.3333333333333333
1384,三重區,環河福德南路口,121.502173,25.060285,32,6,25,1,0.1875
1385,樹林區,文林國小(潭興街),121.424892,24.998601,34,6,28,1,0.17647058823529413
1386,林口區,林口老街,121.393777,25.077153,42,13,28,1,0.30952380952380953
1387,板橋區,板橋果菜批發市場,121.450020,25.021153,40,24,12,1,0.6
1388,新店區,安和公園,121.518853,24.974110,44,0,43,1,0
1389,樹林區,東陽市民活動中心,121.412517,24.982192,32,9,23,1,0.28125
1390,中和區,遠雄左岸,121.487799,25.009850,40,23,17,1,0.575
1391,中和區,瓦磘溝(福真里),121.494692,25.004294,32,5,25,1,0.15625
1392,中和區,中正路161巷口,121.499333,24.992938,46,8,38,1,0.17391304347826086
1394,瑞芳區,瑞峰橋,121.810410,25.107120,44,3,31,1,0.06818181818181818
1395,汐止區,民族二街明峰街口,121.635015,25.071049,22,8,14,1,0.36363636363636365
1401,板橋區,光復國小,121.481930,25.015064,30,3,27,1,0.1
1402,汐止區,世貿國家公園社區,121.658646,25.072887,22,11,11,1,0.5
1403,新店區,新店新和國小,121.517682,24.984975,40,4,31,1,0.1
1404,土城區,立德青雲路口,121.460675,24.988355,62,13,49,1,0.20967741935483872
1405,林口區,新北市林口行政園區,121.363632,25.070158,42,13,28,1,0.30952380952380953
1406,汐止區,工建樟樹一路口,121.641033,25.063062,36,13,23,1,0.3611111111111111
1407,中和區,中和青年社會住宅,121.519329,24.991135,46,16,30,1,0.34782608695652173
1408,蘆洲區,蘆洲李宅古蹟,121.466551,25.084959,30,2,28,1,0.06666666666666667
1409,板橋區,捷運府中站(2號出口),121.460148,25.009537,38,11,27,1,0.2894736842105263
1410,新莊區,新莊勞工中心,121.433736,25.020332,26,14,12,1,0.5384615384615384
1411,永和區,名利橋,121.500986,25.007850,32,17,15,1,0.53125
1412,新店區,捷運大坪林站(1號出口),121.541249,24.982755,26,8,12,1,0.3076923076923077
1413,永和區,福和國中停車場,121.522665,25.005011,40,21,17,1,0.525
1414,中和區,捷運中原站,121.485051,25.007307,66,45,21,1,0.6818181818181818
1415,新莊區,福美公園,121.461081,25.055033,40,1,39,1,0.025
1416,新莊區,輔仁大學附設醫院,121.431004,25.039272,32,11,21,1,0.34375
1417,林口區,民視數位媒體總部,121.379259,25.079876,40,11,27,1,0.275
1418,五股區,五股郵局,121.451127,25.101774,32,13,19,1,0.40625
1419,淡水區,新市一路一段99巷口,121.431016,25.187429,46,7,39,1,0.15217391304347827
1420,板橋區,國泰街111巷口,121.465773,25.006321,34,3,31,1,0.08823529411764706
1421,板橋區,湳雅觀光夜市(津渡橋),121.452440,25.007585,40,16,24,1,0.4
1422,土城區,學成公園,121.451187,24.988246,34,4,30,1,0.11764705882352941
1423,鶯歌區,鳳祥公園,121.330254,24.962819,30,10,19,1,0.3333333333333333
1425,新店區,中興路二段100巷口,121.547496,24.971355,30,14,9,1,0.4666666666666667
1426,永和區,福和橋,121.527850,25.004536,36,4,31,1,0.1111111111111111
1427,土城區,土城國中,121.430347,24.962443,32,15,17,1,0.46875
1428,新店區,安光公園,121.514462,24.964233,34,11,23,1,0.3235294117647059
1429,汐止區,崇德國小,121.669788,25.069378,58,2,56,1,0.034482758620689655
1430,土城區,中華中央路一段242巷口,121.443450,24.985510,38,3,33,1,0.07894736842105263
1431,五股區,公五公園,121.444520,25.086580,44,17,27,1,0.38636363636363635
1432,新店區,碧潭西岸,121.534795,24.956562,40,10,29,1,0.25
1433,樹林區,樹林大安站,121.421725,24.997312,56,38,16,1,0.6785714285714286
1434,林口區,廣停二停車場,121.370261,25.075711,36,2,34,1,0.05555555555555555
1435,五股區,民義公園,121.434500,25.088350,40,16,24,1,0.4
1436,林口區,大崙公園,121.359704,25.076613,32,8,24,1,0.25
1437,五股區,成州國小,121.450630,25.099230,28,14,8,1,0.5
1438,三重區,中興北街42巷17弄,121.468920,25.050060,26,18,8,1,0.6923076923076923
1439,板橋區,江翠國小,121.474420,25.032480,26,8,16,1,0.3076923076923077
1440,板橋區,華江一華江九路口,121.466442,25.032884,40,15,24,1,0.375
1441,三重區,三光國小(金滿意),121.496874,25.055960,36,5,31,1,0.1388888888888889
1442,蘆洲區,蘆洲中路公園,121.468143,25.082299,34,14,16,1,0.4117647058823529
1443,林口區,林口高中,121.380300,25.073840,38,20,18,1,0.5263157894736842
1444,永和區,雙和橋,121.505743,25.005731,34,1,33,1,0.029411764705882353
1446,永和區,環河西路一段95巷口,121.511957,25.017830,24,3,21,1,0.125
1447,中和區,碧河宮,121.493134,24.996726,40,34,5,1,0.85
1448,板橋區,萬板文聖街口,121.479675,25.026295,46,4,40,1,0.08695652173913043
1449,三峽區,明德高中,121.364848,24.907449,58,36,19,1,0.6206896551724138
1450,鶯歌區,鳳鳴國小,121.334806,24.969198,32,16,15,1,0.5
1451,板橋區,林本源園邸,121.455980,25.010860,32,6,25,1,0.1875
1452,三重區,藍天大樓,121.470165,25.053098,36,20,16,1,0.5555555555555556
1453,板橋區,忠孝國中,121.461195,25.004810,46,6,39,1,0.13043478260869565
1454,三重區,大智公園,121.494449,25.063608,22,4,18,1,0.18181818181818182
1455,鶯歌區,國際二國際一路口,121.334938,24.976171,38,22,16,1,0.5789473684210527
1456,三重區,三重高中,121.491710,25.054777,34,27,6,1,0.7941176470588235
1457,新莊區,昌平公園,121.458109,25.058664,40,18,20,1,0.45
1458,三峽區,新北市客家文化園區,121.359538,24.941729,38,22,16,1,0.5789473684210527
1459,淡水區,台北海洋科技大學,121.427011,25.191229,38,21,16,1,0.5526315789473685
1460,汐止區,蘭庭序大廈,121.652070,25.072070,30,1,23,1,0.03333333333333333
1461,永和區,福和路7巷口,121.524732,25.008540,30,20,9,1,0.6666666666666666
1462,新店區,捷運新店區公所站(1號出口),121.541011,24.967369,34,19,14,1,0.5588235294117647
1463,新莊區,新泰游泳池,121.442734,25.045414,26,13,13,1,0.5
1464,樹林區,森林公園,121.379760,24.948177,36,4,31,1,0.1111111111111111
1465,板橋區,馥華公園,121.445449,25.006117,34,19,15,1,0.5588235294117647
1466,板橋區,光復高中,121.482513,25.017443,42,31,11,1,0.7380952380952381
1467,鶯歌區,南雅育智路口,121.345824,24.953961,46,7,33,1,0.15217391304347827
1468,三重區,穀保家商,121.471028,25.068097,30,23,7,1,0.7666666666666667
1469,板橋區,文德國小(公館街),121.459595,25.021336,38,21,17,1,0.5526315789473685
1470,樹林區,學成大成路口,121.382719,24.946248,42,9,33,1,0.21428571428571427
1471,板橋區,石雕公園,121.469469,25.030261,24,21,2,1,0.875
1472,板橋區,民生縣民大道口,121.471011,25.018213,40,16,24,1,0.4
1473,板橋區,新北市藝文中心(文化路二段124巷),121.471401,25.025626,28,8,20,1,0.2857142857142857
1474,板橋區,四維公園地下停車場,121.463967,25.025618,74,22,52,1,0.2972972972972973
1475,土城區,廣福派出所,121.456247,24.988019,34,4,28,1,0.11764705882352941
1476,新店區,新和活動中心,121.521829,24.986771,38,22,16,1,0.5789473684210527
1477,新莊區,大眾廟,121.457660,25.037380,30,14,16,1,0.4666666666666667
1478,新莊區,化成公園,121.461962,25.047860,32,13,19,1,0.40625
1479,三峽區,龍恩公園,121.370524,24.941359,36,15,21,1,0.4166666666666667
1480,五股區,新北市工商展覽中心,121.447585,25.064345,46,30,16,1,0.6521739130434783
1481,土城區,金城裕民路口(中正國中),121.456229,24.982933,44,13,31,1,0.29545454545454547
1482,中和區,圓通路335巷33弄,121.493033,24.988992,24,8,16,1,0.3333333333333333
1483,三峽區,海洋公園,121.376895,24.947490,36,18,18,1,0.5
1484,板橋區,浮洲合宜住宅(合宜一路),121.442760,24.996520,26,5,45,1,0.19230769230769232
1485,新店區,文山國中,121.539270,24.955310,30,12,18,1,0.4
1486,三峽區,臺北大學(資訊中心),121.369520,24.943170,56,49,6,1,0.875
1487,板橋區,捷運府中站(1號出口),121.459010,25.008180,76,28,48,1,0.3684210526315789
1488,新莊區,新莊田徑場,121.452440,25.043570,42,9,27,1,0.21428571428571427
1490,新店區,碧潭渡船頭,121.537460,24.953100,32,9,20,1,0.28125
1491,樹林區,山佳火車站,121.392640,24.972220,32,11,19,1,0.34375
